"ninja_column_0","website","ninja_column_1 href","ninja_column_2","ninja_column_4","ninja_column_5","website2","softmerge-inner href"
"Elastics","elastics.ai","https://www.google.com/url?q=http://elastics.ai&sa=D&source=editors&ust=1780429193012492&usg=AOvVaw3Fjivgb-Ldg5gfzeJLwmLU","FinTech, Finance, Artificial Intelligence, B2B Software, Blockchain, Data","$2,000,000","Pre-Seed","",""
"FlowPrompt AI","flowprompt.ai","https://www.google.com/url?q=http://flowprompt.ai&sa=D&source=editors&ust=1780429193012657&usg=AOvVaw3INTlWYEj7p5L9LLYgISQk","Artificial Intelligence, B2B Software","","Seed","",""
"Palm Republic","","","Alcohol, Food and Beverage, Consumer Goods, E-commerce, Retail","$1,320,000","Series A","palmrepublicrum.com","https://www.google.com/url?q=http://palmrepublicrum.com&sa=D&source=editors&ust=1780429193012760&usg=AOvVaw2EGf-iHPfWw_CiHihsfoAb"
"Art's Cafe Springville","","","Food and Beverage, Community, Entertainment, Hospitality","","Equity Crowdfunding","artscafespringville.com","https://www.google.com/url?q=http://artscafespringville.com&sa=D&source=editors&ust=1780429193012871&usg=AOvVaw03kFPtP18OgoqgvPZogXEt"
"EasyWin","easywin.network","","Gambling, Gaming, Mobile","","Seed","",""
"LeNOSE","lenose.com","https://www.google.com/url?q=http://lenose.com&sa=D&source=editors&ust=1780429193013198&usg=AOvVaw25sA9iGIM75_ESbZj61nbL","Retail, Beauty, Consumer Goods, E-commerce","$1,785,000","Seed","",""
"Mosh","moshlife.com","https://www.google.com/url?q=http://moshlife.com&sa=D&source=editors&ust=1780429193013358&usg=AOvVaw0peSxR9Yyuu3GpP7CbFi-x","Food and Beverage, Wellness, Consumer Goods, E-commerce, Nutrition and Supplements","$13,000,000","Series A","",""
"Passage","gopassage.com","https://www.google.com/url?q=http://gopassage.com&sa=D&source=editors&ust=1780429193013509&usg=AOvVaw3vhoozw1oqpMEFKC9PqDc6","B2B Software, Finance, Entertainment, FinTech","$610,000","Series A","",""
"Dandelion Health AI","","","Healthcare, Analytics, Artificial Intelligence, B2B Software, Data","$14,000,000","Series A","dandelionhealth.ai","https://www.google.com/url?q=http://dandelionhealth.ai&sa=D&source=editors&ust=1780429193013615&usg=AOvVaw2c9p0UmVMb-U034x4aDa7i"
"Hotaku","hotaku.fun","","Esports, Gaming, Blockchain, Gambling","","Seed","",""
"Commissioning Agents","","","Pharmaceuticals, Professional Services","","Private Equity","commissioningagents.com","https://www.google.com/url?q=http://commissioningagents.com&sa=D&source=editors&ust=1780429193013905&usg=AOvVaw0-dJzE5yvqCEIya6Trdb-W"
