site,emails
http://www.pelikan.se/,info@pelikan.se
http://www.woodstockholm.com/,reservations@woodstockholm.com
http://www.restaurangkrypin.se/,
https://www.restaurangtradition.se/,gamlastan@restaurangtradition.se
https://www.kvarnen.com/?utm_source=google,bokabord@kvarnen.com
http://www.esperia.nu/,"info@esperia.nu, bokning@esperia.nu"
http://stockholmsgastabud.se/,
http://bla-dorren.se/,
http://www.beyondsmak.se/,order@beyondsmak.se
https://www.ostgotakallaren.se/?utm_source=google,info@ostgotakallaren.se
https://www.google.com/aclk?sa=L&ai=DChsSEwigzYyXtN2PAxV6p_0FHdpQJK0YACICCAEQABoCd2Y&co=1&gclid=EAIaIQobChMIoM2Ml7TdjwMVeqf9BR3aUCStEBAYASAAEgLDcvD_BwE&cce=2&sig=AOD64_27hWncTtzo_AztMdp-e4OoaO1utw&q=&ctype=99&ved=2ahUKEwjzhYiXtN2PAxV4UaQEHSEKF_U4ChCb2gx6BAgmEBA&adurl=,
https://greasyspoon.se/,
https://hermans.se/,"bokning@hermans.se, info@hermans.se"
https://www.opizzicato.se/,info@opizzicato.se
http://restaurangmaestro.se/,
https://akkurat.se/?utm_source=google,
https://punkroyale.com/sv/start/,"specialdiet.london@punkroyale.com, groups.oslo@punkroyale.com, groups.stockholm@punkroyale.com, groups.london@punkroyale.com, groups.copenhagen@punkroyale.com, info@punkroyale.com, specialdiet.oslo@punkroyale.com, london@punkroyale.com, reservation.oslo@punkroyale.com, specialdiet.stockholm@punkroyale.com, reservation.copenhagen@punkroyale.com, specialdiet.copenhagen@punkroyale.com, careers@punkroyale.com"
https://www.patsplace.se/,
http://falloumi.se/start.html,
http://nytorget6.com/,hov@nytorget6.com
https://meatball.se/?utm_source=google,meatballs@bockholmengruppen.com
http://www.tresanti.se/,info@tresanti.se
http://www.matbod.se/sodermalm/,"Hovsoder@matbod.se, hovsoder@matbod.se"
http://www.delidiluca.se/,info@delidiluca.se
http://www.checa.se/,checastockholm@icloud.com
https://www.alskadetraditioner.se/,
https://www.raouche.se/?utm_source=google,
http://www.stekpannan.com/,
https://www.triton.restaurant/,kontakt@triton.restaurant
